Company,Date Posted,Job Category,Job link,Job_Description,Location,Title
TARGET,1 day ago,Retail,http://www.indeed.com/rc/clk?jk=ea30dfe0c614da36&fccid=15f43d82dc901ff2,"
Our surgery center is seeking a part-time candidate (24hrs) to work three days a week. Days may vary sometimes. Experience must include insurance authorization","Towson, MD 21204",Human Resource Team Member
Optimal Health Care Inc,1 day ago,Retail,http://www.indeed.com/rc/clk?jk=33de7de573d3803a&fccid=3af205e8aee897ab,"
Acting as a liaison with the campus departments to obtain information required for transactions; Working with the campus departments to troubleshoot problems...","Baltimore, MD",Coordinator of Community Service - Baltimore County
Verizon,2 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCWa98Hvkji21fW09umeMazC2liYVc8TEIdVmNtB7K0doPyVUPMziwH8dwI4-reYqEpjjz38R0rKjmejVD7cvir_Iruo7RE9G_Hq-GAiUcZXv2mWPGlGcXQx8JyiXhCwbZAl4IeOkGMuoLDZ68VBMWET2pnEiTDZC7OO2ykaSF3UjOxUAc5ORQgmLLDKTuLQ7jCMFqU0AlbwQjNYzI7PLM1rvmBDxgQugVKZMMGAGQAgsl0nVO_Jxe7wzEj08sLKg8STWBopQrtoIzoCLzDGu0lPN8PgVRyAuSq0r8tHfY6j7LbOGKJPs4TFio-v_Wz02FaDQabpOrkxOdQUJlYg06o0sWD-kuC-fjz8yNMdfk1YTtW7a9MFy7bOPT7FTaPv9KuYThXTgidASZv8HenpKqdw2Va8PYsCPJTU39IThHAP14RmukzkD0CUYDSJn7O5T7UzlVbl028agrtUcg8QmZCycV__X2cIGplfA8NOBO-lB8Z0imuNDPtqRy87ixYgbDCtctRh2parD0dKOSAVI_FhnJE3jPSojLElnxYTu9M3gpcTQnwGq80uXWkoRZimdlIvJXhSrs8L85wvxL39G6orjvpQcs_ogpIkI6HzbMEg==&p=1&sk=&fvj=0,"
? Valid Drivers license and automobile insurance. 10% Develop and implement individual person-centered plans through comprehensive assessments with the...","Baltimore, MD",Business Customer Service Representative
M3D,30+ days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjlVjnbmXTkN7lkiZfQCiywJ0UAh1qnJ0zAU3uRFgPvOlwXc3K05ro6N0l6erpPs-f-pvR3ndTRixc01ca6cQ6ANksccrRWoiiXjooO2ak2dmHXyN2avC6RLsEefkMcYYaFihTk6Gc4RIYNpnKEdjyI5oFPM-E02K0DLTnXi4p0_hWYplJbfTUc0b4SDWSYNycGK44X2Wk8MZkdtd8bFH7uA4K_6I2KgYN47Ep78MYyLM0Ga20alxjoDIXUbptOrplF7OCgy157nLquHCDC9aHtLY9y0heFw2JwFKUOs8Hc6XbHTbBbuuu3bcgd8hoXx8dCRvd5y4kphqI20ZKFG6MYvHKOkrfiyxChP6mz04D4Fshb0_80vvpSnUTg02RrbAbn6xrE3Kmnw==&p=2&sk=&fvj=0,"
Reporting directly to the Rector of the Jesuit Community, the House Coordinator will oversee the smooth day-to-day administrative operations of the Jesuit...",,Community Coordinator/Marketing Specialist
ACT (American Cable and Telephone),29 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9G_JBYVSN595nVEM5FsA6QKHZv5GomOvItRbLGUrFhEV5ljlUcU8G1OvAxrTV2b-YJhYMhlBWbYu3VBNlibMAzwPtGz73zDCUq7tx79JxrW8w7aNLKRZHMxWAmPmd5RqYpty_0Ug-CutZF9XoTBy4Oy16BiPDcCUF2jZ_tYBQdCthLjLooro-46vP2NsVE6Y4gbj-1N8MR2j8GLGvwcsf_LyRUQFiFI9knmVg03wh-lLrShXYrOqrv1eYls7kXhTQ6rmElYfZVXI8uLfxIW-iGPRBABSJqLcIFvfTCIaWuAx5YD1DLrGrv91jZIg8JrCEa7-qg6TbBdGMkIZD_I5cB5lsl8njy03xpr0innvrI5CKQ4sJ9V-fqWLDRHmkZq2sdrTFi5HGu3dfRGnpbX2CKtb1t6fkAWvDEU-L4RbXtrrac9rlmG42hKVb7m0O498jRALGZZ4XyQ==&p=3&sk=&fvj=1,"
Required license or certification:. File Management and maintaining driver logs. High School graduate....","Rosedale, MD 21237",Cable Box Equipment Collections (Driver)
Loyola University Maryland,1 day ago,Retail,http://www.indeed.com/rc/clk?jk=dfa7f7f64ac110c8&fccid=bb3e425518206146,"
Under general supervision, perform a variety of clerical and secretarial duties such as word processing of correspondence, reports, and memos, maintaining...","Baltimore, MD",House Coordinator
"Truck & Trailer Repair Center, Inc.",23 hours ago,Retail,"http://www.indeed.com/cmp/Truck-&-Trailer-Repair-Center,-Inc./jobs/Billing-Specialist-Administrative-Assistant-32a109b2a4a3dd5f?r=1&fccid=79000de39c122e8f","
After you answer them, click “Submit.” This leads you to the Submit Online Application page. Answer the questions requiring a yes or no response....",,Billing Specialist/Administrative Assistant
"University of Maryland, Baltimore",16 hours ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=4c3d5a3874f52f52&fccid=9eb13995e57c07c3,"
Prepares documents and various materials, responds to complex correspondence and telephone inquiries, maintains filing systems, and prepares basic to complex...","Baltimore, MD",Administrative Assistant II
University of Maryland Medical Center,2 days ago,Retail,http://www.indeed.com/rc/clk?jk=4435f569f6ebf2da&fccid=f02e717c1497a519,"
Receive training and tools so you can be successful. The tasks consist of sanitizing, sweeping, dust mopping, damp mopping, dusting, organizing, and removing...","Towson, MD 21204",Secretary/Full Time/Days
University of Baltimore,8 hours ago,Retail,http://www.indeed.com/rc/clk?jk=8ddf4e8b858d832a&fccid=c25047e3e8fc7474,"
StraighterLine.com, an innovative online educational platform that delivers college level courses for credit and prepares students for enrolling into degree...","Baltimore, MD",Digital Media Specialist
University of Maryland Medical Center,1 day ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=dd864f24b10cd41c&fccid=f02e717c1497a519,"
Focus in business, human resources management, communications or related field preferred. This position will provide clerical support for the office, provide...","Baltimore, MD",Administrative Coordinator
Arch Insurance Group,10 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C099kcuJlalJokU1hnDaLG8CsngIjAH_ZAv_fXQsX-YK_m6GB_Y6Fp35FD2KMTDNjCAaQSwBxBF0LYDsS8WuBMqOHaOHfFZ4cXQ155rJey0ynRVfh8gX4tDA9POjRmrX0nGHAgO89wRHRt_LqmxZoatrKvF700FNAj0d108-p6GLQKWMcWPwRwo69_Sj81yCt0YfIE1zlaDXPQ5e9aNziM9ibxCX5vanzL_ZA2bOmuJ2bitBOxBYq2LOx0TPJL0oHP3puPh3-4O-yIDDeiAHE0FJKE3Dw5gl7WJoJYi088hlGBGtxddc-2i8bfoNCt7PIJ8oeJtAvfKG7iSjfLwMIbKem9mNZNKYeuiIxuezAHX-0C94isJmYTuwNg126NyfWxxJ4aZNOPJijxlUlbdaA1yzFmc_xlu0XvfRk54_30-3q1uOyw1AdPXG187bXl7XZYVp0siKs_7hSH37SKw2yVr5LoaqzDE0U=&p=1&sk=&fvj=1,"
Organizes and schedules meetings, including reserving rooms for ongoing and impromptu meetings, sets up conference calls and teleconference meetings Provides...",,Travel Claims Examiner Trainee - Bilingual English/Mandarin
Red White & Blue Thrift Store,13 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLd9LiKMbulyYCFrhqbYDOF1j8wV5_lnAIZcdqyznaulkmIXrs-4n6E8s3q3X-GQz8LmLwZh_E2rhO4IG56P69lQfnX1PbqJ1oThOmify8l9x5Uh8l3l2RHEHK6Y6ZtF8SRRNIcqQZQJA2DKDcOMz7iz9eWf3flcUWSffS9rorH6ei9jNIFWZFzClM9QSonGrKPnQIfrsMI3KHsmnvCDKym-hA0dDRYlWCBwlwbCSmIoqjjf2q4M-vze6edAF6eqfUxdaYwdI9lOtTWLq56c2pyUMobUhjL0oFGvMvlJVzgML2JHfk1lr7o7pQHqqecH7T32VdPcj1j4Y4tBgIDE4w-ltWxU7OxlTbqnNrJHcQP82PfAktOYqtHC6FD-xIR53jwo2_eHncGNhew4VXV5Tuzi960ibNcUcM3i_S7g2LWpKY5ra8ZqihAKrXhgLzBRXwIiI_mMmJ4pfQowPwKl7sA4SGgZruDtI=&p=2&sk=&fvj=1,"
Must be able to work independently and possess the ability to make independent decisions when circumstances warrant such action....","Baltimore, MD",Drivers to pickup household goods - M-F $14.50 after 90 days
Northeast - Allied Universal Security,30+ days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DERb3SPzlpM7TlkP8y1Q1aCJnW8Ln0F0d3zHlYp2rlUW_QXhzEXxLGEcRidX45aU3Y0NjXrpCgpJzL5V0nQA3o-IjatzC-h4m5jFzUZFw3JXhU9vUOAoCFonNDOU2n05ErJOlYpmSQOmeJP-OYACNEGalGXZ8AgzJqwMBaLLaWztl75UdjNpZtLoKVOxI4Y3ZPzkwuA2oZoKKF2ARtXCDcXCAaDU1hhVIN8O6mq5dxYooYYUnUDnPcEosGtQs1Fte8OSWQnm-tH6jFS52ds0-kb_lgsZeA57sDbb2zAERFz-kHLCdD52EpdeQAvpLDghV_u0RTHQ_lNRvcZJoz7SlmGZnP9w3etnwl8cdj_SS8zl2u9Bbhhy_hE8zHTYJkXGhJuDhognJV8XrQtubqI8Xv9jE4IUagP0ZnK_mWId4UnOfyHVEaMIqt&p=3&sk=&fvj=0,"
Entry level knowledge; Performs a variety of administrative and clerical duties to proactively identify and respond to the needs of the patients, medical office...","Baltimore, MD",PT Security Officers - HIRING EVENT
Mt. Washington Pediatric Hospital,22 hours ago,Retail,http://www.indeed.com/rc/clk?jk=0eda4203f20b81fa&fccid=dc5f380b582f25c6,"
Greet all patients as they walk through and into the building. Be friendly, courteous and helpful to all consumers and staff....","Baltimore, MD",ADMINISTRATIVE COORDINATOR
Mercy Health Services,1 day ago,Retail,http://www.indeed.com/rc/clk?jk=86fc8a35bb6f0b40&fccid=33684882873c7442,"
Field incoming phone, email, and chat questions from prospective students. In this role, the EC will work directly with prospective students, guiding them...","Baltimore, MD",Patient Service Associate
Sinai Hospital of Baltimore,1 day ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=6593597a0f7aba52&fccid=97950578a3963a6d,"
Duties include taking lead calls, tracking lead inquiries, managing enrollment activity and paperwork, and properly completing student files;tracking marketing...","Towson, MD",Medical Admin Asst-SPP
BayMark Health Services,7 days ago,Retail,http://www.indeed.com/rc/clk?jk=81c7a0187cb67b18&fccid=8397ad2c112a6791,"
BD utilizes state of the art manufacturing technology, methodology and people. BD relies on the MDP program to further strengthen our manufacturing and...","Baltimore, MD",Greeter
StraighterLine,22 hours ago,Retail,http://www.indeed.com/cmp/StraighterLine/jobs/Enrollment-Counselor-2f1566e6572e3f74?r=1&fccid=62c5a26d4f3a7753,"
Cover front desk daily. Quality control—the individual demonstrates accuracy and thoroughness and monitors own work to ensure quality....","Baltimore, MD",Enrollment Counselor
Fortis Institute - Towson,18 hours ago,Retail,http://www.indeed.com/cmp/Fortis-Institute---Towson/jobs/Admission-Representative-293976a7af12e0e6?r=1&fccid=c689690fc2c10b35,"
Required license or certification:. Possess a valid automobile driver’s license. Stacking and securing materials on pallets;...","Baltimore, MD",Admissions Representative
Becton Dickinson & Company,21 hours ago,Retail,http://www.indeed.com/rc/clk?jk=9ca4e85758e6703f&fccid=84232ebd0081b955,"
Responsibilities for this position would include, updating and maintaining membership databases utilizing customer relationship management software, generating...","Baltimore, MD",Production Operator I
National Coatings & Supplies,30+ days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CThNPQhRXVsROVvyP0sDycHIKIN_wZ1d4AUAwlc6r-Du6X13cPY61Vi6xbW3huZGc9Fl46O15C0pqSUotQV4bcZ81fkpeN4H_UyLyYyRW-MHWThIEBqj3HmRmnLpK_IqURZ54GOUmueYhtSGIaN-so4jkQTq7bdgc0pZClWHrgMkmI3iIuKXF7M7MSBTyHPQ-ftcurVikwEk2_VohffhgKMWsIxvo2NRs8P_z6kyPfvK_8DwqoyVQt9vAA7_0-tujiqGDvdACfJ1ZAHF5ituiFgP9JzNDSTe35F6kAIjN8YRMx2GWXhe1YqghSJuS3Fo7nnWCtzLeUy_hDuLSgeOp3LMAuLqChARi4DZmSJzpv5EWn-ruALN1EzP1SM3dZ1fI938LTs7Dd0Hltvzd2S8GC3x0ji4j4tmoIHFr0i5zN5IIwSjU33Pqx&p=1&sk=&fvj=0,"
Duties include taking lead calls, tracking lead inquiries, managing enrollment activity and paperwork, and properly completing student files;tracking marketing...","Towson, MD",Delivery Representative
Nalley Fresh,20 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D55riGpVlWRPC9Cv-Ix9RMiHQvzI7XM7vyrw729bJXi9vv3ARPmRrCT2tzNr_Dx8ys9xFqnE7knzlfQi8B91EGUysMJcfMD0_PGw1Bdvte1moI8ZezVXCUaImxfy546W6wg1HJWgiRZl6PR7jFoECIBxfemTW0yvcgsECIbF4ELxnkjpK7wM7D2PgVZbbUPMeC7RzNJL5A3ADo5qPym1GUE2YBHlEbq2RHBOsuV0-BmsA__qjVRkIzj5itD-YBSFBOFtDFW67zOjUcnXE10jv58Qa9YJr3yzM6l0__tQaiPfx598p9Jw0g6ZNqIAMFBjhQ7MWogQOcRH61naD-94nYoe3Gue5TbjKQWB934I8axdK-J6YUkkbi9hrc50JxctFTCOeAC5_rCricvi_pXK1FbYiOjCeob_rJgE8A1BZ94Q==&p=2&sk=&fvj=1,"
The Patient Service Representative is responsible for greeting, registering, scheduling in the practice computer system for both office visits and procedures,...","Baltimore, MD",Supervisors
Sheppard Pratt Health System,23 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ay9xO8AlDLy2C4l2EFr_A1loYBVcnTTwVu0gQoS8VyOVIyw9UMU7pkIgpNXp9Xq1tAeWeIpKKZRHvni7Scwa9YegnOcbcyXXGBayuMRN3W_TK0Wb_XCHM8g5J8CaXLQrTH5C2vmPOesUEimEgP3GmZ7ffpPcM6YTWsgOsuR20U8Q4aOucSanjzurO9NUIIITIKDZERdm-msjuVvI4oAHGIRkQAxLAJFNom1LUuvK4IbwWzL6jT_gNfE6CYtt3PzEq0elyCQ3b3Evz45hbEVhLgID6VWzygP3fn-GKmyDWz0GKjJndyVy4wUP5RPKVvhCjT3PqTS49FSZ-sMTK26RrENXd9SRLdWe5_Zce1joCtMmR8485CJJLpPmEnWGrBzomMhPxNAFac0-i79bYRva9ke9-kaiWl_qF8Nk26qfrtnqwA9o39K4rBMPp7VRs37yuUG1HhoI_b-EF6CO9isWOH5EWTqw-A3t0Nsiov_NSHHgleTStW23FTubkorTZTtJArWqdwcBx-iHYB-QB9xeJFuQF_Y8ErxWiPiVxOtFIcJiPYanlqvT0AjqHVotye5-wT198yhF8ymxs7Ehmvz2v7&p=3&sk=&fvj=0,"
Armed Forces military service experience as a commissioned officer in the Budget Officer classifications or Financial Management specialty codes in the...","Baltimore, MD",Admissions/Referral Coordinator (The Retreat)
Mercy Health Services,13 hours ago,Retail,http://www.indeed.com/rc/clk?jk=50b661bb8c4cb588&fccid=33684882873c7442,"
Organizes and schedules meetings, including reserving rooms for ongoing and impromptu meetings, sets up conference calls and teleconference meetings Provides...",,Patient Service Representative
State of Maryland,16 hours ago,Retail,http://www.indeed.com/rc/clk?jk=5e4a1780151ffe71&fccid=2d3a5aa715e90595,"
Answering incoming calls, directing calls to appropriate associates, mail distribution, flow of correspondence, requisition of supplies as well as additional...","Baltimore, MD",AGENCY BUDGET SPECIALIST II
Mercy Health Services,2 days ago,Retail,http://www.indeed.com/rc/clk?jk=acbd24aba9a83e1e&fccid=33684882873c7442,"
Must be at least 18 years old with a valid driver's license to apply. We use a proven system that helps our guests overcome their own roadblocks to starting a...","Baltimore, MD",Patient Access Representative
Pamplicorescuesquad,2 days ago,Retail,http://www.indeed.com/rc/clk?jk=25fee0e93a59bb7f&fccid=589e72798ed1be6e,"
If Staff, list days and hours: Mon - Fri 11:00PM - 7:30AM (2) Wed - Sun PM - 7:30AM (1",,Customer Service
"Anytime Fitness - Towson, MD",2 days ago,Recreation,http://www.indeed.com/rc/clk?jk=3cb2221381c96053&fccid=c3038b6d6e10319a,"
Employees assigned such duties will be required to possess a motor vehicle operator’s license valid in the State of Maryland....","Baltimore, MD",Gym Assistant Manager (Towson)
